timestamp,kpm,mouse_px,clicks,emotion,activity
2025-11-05T12:34:09.569057,112,5871,4,Normal 🙂,Calm
2025-11-05T16:45:58.540874,0,2198,0,Tired 😴,Idle
2025-11-05T16:46:13.658420,0,8221,4,Normal 🙂,Calm
2025-11-05T16:46:28.667117,56,17830,20,Stressed ⚡️,Active
2025-11-05T16:46:43.679002,232,0,0,Stressed ⚡️,Active
2025-11-05T16:46:58.681934,104,0,0,Normal 🙂,Calm
2025-11-05T16:47:13.684538,372,601,4,Stressed ⚡️,Active
2025-11-05T16:47:28.690934,140,0,0,Normal 🙂,Calm
2025-11-05T16:47:43.694410,264,0,0,Stressed ⚡️,Active
2025-11-05T16:47:58.701276,28,10570,20,Normal 🙂,Calm
2025-11-05T16:48:13.708345,8,20034,16,Stressed ⚡️,Active
2025-11-05T16:48:28.715219,0,0,0,Tired 😴,Idle
2025-11-05T16:48:43.722241,0,0,0,Tired 😴,Idle
2025-11-05T16:48:58.728942,0,0,0,Tired 😴,Idle
2025-11-05T16:49:13.734103,0,13694,0,Stressed ⚡️,Active
2025-11-05T16:49:28.740941,0,15636,24,Stressed ⚡️,Active
2025-11-05T16:49:43.746245,100,14554,16,Stressed ⚡️,Active
2025-11-05T16:49:58.752831,80,3059,20,Normal 🙂,Calm
2025-11-05T16:50:13.758590,108,2073,20,Normal 🙂,Calm
2025-11-05T16:50:28.764392,64,19622,24,Stressed ⚡️,Active
2025-11-05T16:53:25.377755,28,21257,8,Stressed ⚡️,Active
2025-11-05T16:53:40.576146,340,12911,4,Stressed ⚡️,Active
2025-11-05T16:53:55.582940,12,14472,32,Stressed ⚡️,Active
2025-11-05T16:54:10.587863,276,0,0,Stressed ⚡️,Active
2025-11-05T16:54:25.593424,4,0,0,Tired 😴,Idle
2025-11-05T16:54:40.601014,0,0,0,Tired 😴,Idle
2025-11-05T16:54:55.605985,0,2089,0,Tired 😴,Idle
2025-11-05T16:55:10.612519,80,2382,0,Normal 🙂,Calm
2025-11-05T16:55:25.619396,72,1674,0,Tired 😴,Idle
2025-11-05T16:55:40.622020,160,3579,12,Focused 🧠,Working
2025-11-05T16:55:55.633339,48,3802,8,Normal 🙂,Calm
17:09:31,0.0,5883.853573437153,3,Stressed,0.82
17:09:46,76.0,1410.9558249035867,2,Normal,0.87
17:10:01,184.0,2578.171645726424,4,Focused,0.9
17:10:16,188.0,629.3879341879516,7,Normal,0.87
17:10:31,164.0,2973.3323012100777,6,Focused,0.9
17:16:08,64.0,4856.334798253545,5,Normal,0.87
17:16:23,156.0,4282.135365341697,4,Focused,0.9
17:16:38,196.0,0,0,Normal,0.87
17:16:53,324.0,0,0,Stressed,0.82
17:17:08,4.0,6580.734045272921,1,Stressed,0.82
17:17:23,12.0,10515.083520728816,4,Stressed,0.82
17:17:38,0.0,5739.420645655901,8,Stressed,0.82
17:17:53,20.0,8634.398930734416,5,Stressed,0.82
17:18:08,4.0,2660.268090357661,5,Normal,0.87
17:18:23,208.0,3153.3844037861327,6,Focused,0.9
17:18:38,28.0,7539.384740589297,6,Stressed,0.82
17:18:53,0.0,8977.004319870624,5,Stressed,0.82
17:19:08,136.0,1472.1539805877687,4,Normal,0.87
17:19:23,288.0,3401.762866919368,7,Stressed,0.82
